english	localized	language
table	Tabla	es
tag	Etiqueta	es
tail	tail	es
tamd	tamd	es
tarp	tarp	es
task	tarea	es
tasking	gestiónTareas	es
tasks	Tareas	es
tcow	tcow	es
tcpu	tcpu	es
technology	Tecnología	es
temp	temp	es
temporary	temporary	es
tenth	tenth	es
terminated	terminated	es
test	Probar	es
text	texto	es
thr	thr	es
thread	hilo	es
threads	threads	es
tick	tick	es
ticmp	ticmp	es
time	Hora	es
timer	temporizador	es
tip	tip	es
tls	tls	es
tmp	tmp	es
tmsdos	tmsdos	es
to	to	es
top	Superior	es
tos	tos	es
total	total	es
track	track	es
trap	trap	es
truncate	Truncar	es
tss	tss	es
type	tipo	es
t공용서술자테이블	t공용서술자테이블	es
t작업관리자	t작업관리자	es
t조각설명자	t조각설명자	es
t콘솔	t콘솔	es
t함수	t함수	es
udesc	udesc	es
udp	udp	es
udp콘솔	udp콘솔	es
uid	uid	es
uint	uint	es
uintptr	uintptr	es
uname	uname	es
unhandle	unhandle	es
unhandled	unhandled	es
unit	Unidad	es
unset	Sinestablecer	es
unused	sinusar	es
up	Subir	es
update	Actualizar	es
usable	usable	es
use	Usar	es
used	Enuso	es
user	usuario	es
userhandler	userhandler	es
usermode	Mododeusuario	es
userproc	userproc	es
util	utilidad	es
util콘솔	util콘솔	es
uts	uts	es
utsname	utsname	es
v	v	es
vaddr	vaddr	es
val	val	es
value	Valor	es
values	Valores	es
vector	vector	es
vendor	Fabricante	es
ver	ver	es
version	Versión	es
vfs	vfs	es
vga	vga	es
video	Vídeo	es
virt	virt	es
virtlen	virtlen	es
virtmem	virtmem	es
virtual	virtual	es
volume	Volumen	es
w	O	es
wait	Esperar	es
waitpid	waitpid	es
wdata	wdata	es
when	when	es
whence	whence	es
widget	componente	es
width	Ancho	es
word	palabra	es
writable	writable	es
write	escribir	es
writer	writer	es
x	x	es
xy	xy	es
y	S	es
zero	Cero	es
값	값	es
공용서술자테이블	공용서술자테이블	es
기준	기준	es
기준주소	기준주소	es
낮은	낮은	es
넷카드콘솔	넷카드콘솔	es
높은	높은	es
단말기	단말기	es
마우스콘솔	마우스콘솔	es
매개값	매개값	es
매우높은	매우높은	es
멈추기	멈추기	es
목적	목적	es
유형	유형	es
이더넷콘솔	이더넷콘솔	es
인터럽트무시하기	인터럽트무시하기	es
인터럽트예외처리기	인터럽트예외처리기	es
인터럽트요청처리	인터럽트요청처리	es
인터럽트처리기	인터럽트처리기	es
임시	임시	es
자료	자료	es
자신	자신	es
작업관리자	작업관리자	es
작업콘솔	작업콘솔	es
조각설명자	조각설명자	es
출력	출력	es
콘솔	콘솔	es
크기	크기	es
키보드콘솔	키보드콘솔	es
표시들	표시들	es
한도	한도	es
