english	localized	language
ebp	ebp	hy
ebusy	ebusy	hy
ebx	ebx	hy
echild	echild	hy
echo	echo	hy
ecx	ecx	hy
edi	edi	hy
edx	edx	hy
eexist	eexist	hy
ef	ef	hy
efault	efault	hy
efbig	efbig	hy
eflags	eflags	hy
ehsize	ehsize	hy
eintr	eintr	hy
einval	einval	hy
eio	eio	hy
eip	eip	hy
eisdir	eisdir	hy
elf	elf	hy
emfile	emfile	hy
empty	Դատարկ	hy
emsgsize	emsgsize	hy
enable	enable	hy
enabled	Միացված	hy
end	վերջ	hy
enetunreach	enetunreach	hy
enfile	enfile	hy
enodev	enodev	hy
enoent	enoent	hy
enoexec	enoexec	hy
enomem	enomem	hy
enospc	enospc	hy
enosys	enosys	hy
enotconn	enotconn	hy
enotdir	enotdir	hy
enotty	enotty	hy
ensure	ensure	hy
entries	entries	hy
entry	entry	hy
entrypoint	entrypoint	hy
entsize	entsize	hy
environment	environment	hy
eopnotsupp	eopnotsupp	hy
eperm	eperm	hy
ephemeral	ephemeral	hy
eprotonosupport	eprotonosupport	hy
equal	equal	hy
erange	erange	hy
erofs	erofs	hy
err	err	hy
error	Սխալ	hy
errorln	errorln	hy
es	es	hy
esi	esi	hy
esp	esp	hy
espipe	espipe	hy
esrch	esrch	hy
ether	ether	hy
etherframe	etherframe	hy
ethernet	ethernet	hy
event	event	hy
events	events	hy
exceeded	exceeded	hy
except	except	hy
exception	exception	hy
exec	exec	hy
execve	execve	hy
exists	exists	hy
exit	exit	hy
exited	exited	hy
ext	ext	hy
extended	extended	hy
f	f	hy
family	family	hy
fat	fat	hy
fatal	fatal	hy
fatbuf	fatbuf	hy
fatbuffer	fatbuffer	hy
fault	fault	hy
fb	fb	hy
fcntl	fcntl	hy
fd	Ֆայլայինդեսկրիպտոր	hy
fds	fds	hy
field	field	hy
file	Ֆայլ	hy
filename	Ֆայլիանուն	hy
files	files	hy
filesz	filesz	hy
fill	fill	hy
find	Գտնել	hy
first	first	hy
fl	fl	hy
flag	flag	hy
flags	Դրոշներ	hy
floating	floating	hy
flush	flush	hy
fn	fn	hy
focus	focus	hy
focussable	focussable	hy
foo	foo	hy
for	for	hy
forced	forced	hy
fork	fork	hy
found	found	hy
fp	fp	hy
fpu	fpu	hy
frame	Շրջանակ	hy
free	Ազատ	hy
frequency	frequency	hy
from	ից	hy
front	Ճակատ	hy
fs	fs	hy
fstat	fstat	hy
fsync	fsync	hy
fuction	fuction	hy
full	Լրիվ	hy
func	func	hy
function	function	hy
functions	functions	hy
fxrstor	fxrstor	hy
fxsave	fxsave	hy
g	g	hy
gate	gate	hy
gateway	gateway	hy
gb	gb	hy
gdt	gdt	hy
get	get	hy
getcwd	getcwd	hy
getegid	getegid	hy
geteuid	geteuid	hy
getgid	getgid	hy
getpid	getpid	hy
getppid	getppid	hy
getuid	getuid	hy
gid	gid	hy
global	Գլոբալ	hy
got	got	hy
gpf	gpf	hy
gran	gran	hy
graphics	Գրաֆիկա	hy
grub	grub	hy
gs	gs	hy
h	h	hy
halt	halt	hy
handle	handle	hy
handler	handler	hy
handlers	handlers	hy
hardware	Ապարատայինմիջոցներ	hy
has	has	hy
hd	hd	hy
head	head	hy
header	header	hy
headertype	headertype	hy
heap	heap	hy
height	Բարձրություն	hy
helper	helper	hy
hex	hex	hy
hex출력	hex출력	hy
hi	hi	hy
hidden	hidden	hy
high	Բարձր	hy
hop	hop	hy
i	i	hy
icmp	icmp	hy
icmp콘솔	icmp콘솔	hy
id	id	hy
ident	ident	hy
identify	identify	hy
idt	idt	hy
idx	idx	hy
ifchr	ifchr	hy
ifdir	ifdir	hy
ifmt	ifmt	hy
ifreg	ifreg	hy
ifsock	ifsock	hy
in	Մեջ	hy
increment	increment	hy
index	Ինդեքս	hy
inet	inet	hy
info	info	hy
init	init	hy
initial	initial	hy
initialization	initialization	hy
initialize	initialize	hy
ino	ino	hy
inode	inode	hy
input	Հիմա	hy
install	Տեղադրել	hy
int	int	hy
interconnect	interconnect	hy
interface	Ինտերֆեյս	hy
internet	Համացանց	hy
internetprotocol	internetprotocol	hy
interrupt	Ընդհատել	hy
interrupts	interrupts	hy
invalid	Անթույլատրելի	hy
io	io	hy
iomap	iomap	hy
ip	ip	hy
ipci	ipci	hy
ipmessage	ipmessage	hy
ipv	ipv	hy
ip콘솔	ip콘솔	hy
iret	iret	hy
is	is	hy
ist	ist	hy
j	j	hy
jmp	jmp	hy
jump	jump	hy
k	կ	hy
kb	կբ	hy
kcs	kcs	hy
kds	kds	hy
kernel	kernel	hy
key	Բանալի	hy
keyboard	Ստեղնաշար	hy
kgs	kgs	hy
kind	kind	hy
k핵심	k핵심	hy
l	l	hy
label	Պիտակ	hy
last	Վերջին	hy
lba	lba	hy
ldt	ldt	hy
left	Ձախ	hy
len	len	hy
length	Երկարություն	hy
lengths	lengths	hy
level	level	hy
lib	lib	hy
lidt	lidt	hy
lidtaddr	lidtaddr	hy
limit	limit	hy
line	line	hy
link	հղում	hy
linked	linked	hy
linker	linker	hy
list	Ցուցակ	hy
listen	listen	hy
listening	listening	hy
live	live	hy
load	Բեռնում	hy
loader	loader	hy
local	Տեղային	hy
log	log	hy
logical	logical	hy
loop	loop	hy
low	Ցածր	hy
lseek	lseek	hy
lstat	lstat	hy
m	Մ	hy
mac	mac	hy
machine	machine	hy
magicnumber	magicnumber	hy
main	գլխավոր	hy
make	make	hy
malloc	malloc	hy
manager	manager	hy
map	map	hy
mask	mask	hy
master	Վարպետ	hy
matches	matches	hy
max	max	hy
maximum	Առավելագույն	hy
mb	Միլիբար	hy
mbr	mbr	hy
media	Մեդիա	hy
mem	mem	hy
memory	Հիշողություն	hy
memorymananger	memorymananger	hy
memorytest	memorytest	hy
memsz	memsz	hy
mesg	mesg	hy
message	ՀԱՂՈՐԴԱԳՐՈՒԹՅՈՒՆ	hy
mics	mics	hy
mid	mid	hy
minimum	Նվազագույն	hy
mode	Ռեժիմ	hy
model	Մոդել	hy
mouse	Մկնիկ	hy
mousemove	mousemove	hy
move	Տեղաշարժել	hy
msdospart	msdospart	hy
msg	msg	hy
mtime	mtime	hy
multi	multi	hy
multiboot	multiboot	hy
multitasking	multitasking	hy
my	my	hy
myfunction	myfunction	hy
m긴급로그	m긴급로그	hy
m긴급로그문자열	m긴급로그문자열	hy
m직렬로그초기화	m직렬로그초기화	hy
m출력	m출력	hy
m테스트	m테스트	hy
n	ո	hy
name	Անուն	hy
namesz	namesz	hy
net	net	hy
network	Ցանց	hy
new	Նոր	hy
next	Հաջորդ	hy
nibble	nibble	hy
nlink	nlink	hy
nmi	ծմղ	hy
node	node	hy
nodename	nodename	hy
noexec	noexec	hy
none	Ոչինչ	hy
normal	Նորմալ	hy
norw	norw	hy
not	not	hy
note	Նշում	hy
nsec	nsec	hy
num	num	hy
number	ՀԱՄԱՐ	hy
o	o	hy
of	of	hy
offset	offset	hy
ok	ok	hy
old	old	hy
on	Միացնել	hy
only	only	hy
opcode	opcode	hy
open	Բացել	hy
oper	oper	hy
operation	operation	hy
options	Տարբերակներ	hy
order	order	hy
org	org	hy
other	Այլ	hy
out	Դուրս	hy
output	Ելք	hy
overflow	overflow	hy
p	p	hy
packet	packet	hy
packets	packets	hy
paddr	paddr	hy
page	Էջ	hy
pages	pages	hy
paging	paging	hy
param	param	hy
parameter	parameter	hy
params	params	hy
parent	ծնող	hy
parse	parse	hy
part	part	hy
partition	partition	hy
partitions	partitions	hy
path	ՈՒՂԻ	hy
pause	pause	hy
payload	payload	hy
pci	pci	hy
pde	pde	hy
pdelen	pdelen	hy
peer	peer	hy
pending	pending	hy
per	per	hy
peripheral	peripheral	hy
phentsize	phentsize	hy
phnum	phnum	hy
phoff	phoff	hy
phy	phy	hy
phyaddr	phyaddr	hy
phymem	phymem	hy
phys	phys	hy
physical	physical	hy
pic	pic	hy
pid	pid	hy
pit	pit	hy
pixel	pixel	hy
point	point	hy
pointer	Ցուցիչ	hy
pointers	pointers	hy
poll	poll	hy
port	Պորտ	hy
portnumber	portnumber	hy
pos	pos	hy
position	Դիրք	hy
posix	posix	hy
prefetch	prefetch	hy
prefetchable	prefetchable	hy
present	Ներկա	hy
prev	prev	hy
primary	primary	hy
print	Տպել	hy
printf	printf	hy
println	println	hy
printreg	printreg	hy
priv	priv	hy
private	private	hy
privilege	privilege	hy
proc	proc	hy
process	Գործընթաց	hy
processes	Գործընթացներ	hy
processing	processing	hy
program	ծրագիր	hy
programmable	programmable	hy
protocol	protocol	hy
provided	provided	hy
provider	provider	hy
ps	ps	hy
pt	pt	hy
pte	pte	hy
ptr	ptr	hy
push	push	hy
put	put	hy
pv	pv	hy
queue	queue	hy
r	r	hy
range	Միջակայք	hy
raw	raw	hy
rdev	rdev	hy
read	Ընթերցում	hy
ready	Պատրաստ	hy
receive	receive	hy
received	received	hy
receiver	receiver	hy
receviced	receviced	hy
record	Ձայնագրել	hy
rectangle	rectangle	hy
recv	recv	hy
ref	ref	hy
refs	refs	hy
reg	reg	hy
region	region	hy
register	register	hy
registeroffset	registeroffset	hy
registers	registers	hy
regs	regs	hy
regtype	regtype	hy
rel	rel	hy
rela	rela	hy
release	release	hy
released	released	hy
reload	Վերբեռնել	hy
relocation	relocation	hy
remaining	remaining	hy
remote	remote	hy
remove	Հեռացնել	hy
reply	reply	hy
request	request	hy
requested	requested	hy
reserved	reserved	hy
reset	Դադարեցնել	hy
resolve	resolve	hy
restore	Վերականգնել	hy
result	result	hy
ret	ret	hy
revision	revision	hy
rgb	rgb	hy
right	Աջ	hy
root	Արմատ	hy
round	Մոտարկում	hy
route	route	hy
rs	rs	hy
rt	rt	hy
run	Գործարկել	hy
runnable	runnable	hy
rx	rx	hy
s	s	hy
saved	saved	hy
sc	sc	hy
scan	Որոնել	hy
scancode	scancode	hy
sche	sche	hy
schedule	schedule	hy
scheduler	scheduler	hy
screen	screen	hy
secondary	secondary	hy
sect	sect	hy
section	section	hy
sector	sector	hy
sectors	sectors	hy
seek	seek	hy
seg	seg	hy
segment	segment	hy
segments	segments	hy
select	select	hy
selector	selector	hy
self	ինքնուրույն	hy
send	ՈՒղարկել	hy
sequencer	sequencer	hy
serial	serial	hy
set	set	hy
setup	setup	hy
sh	sh	hy
shared	shared	hy
shentsize	shentsize	hy
shift	shiftՌեգիստրիփոփոխում	hy
shndx	shndx	hy
shnum	shnum	hy
shoff	shoff	hy
shstrndx	shstrndx	hy
signature	signature	hy
simd	simd	hy
size	Չափս	hy
sl	sl	hy
slave	slave	hy
sock	sock	hy
socket	socket	hy
socketcall	socketcall	hy
sockets	sockets	hy
soft	soft	hy
software	Համակարգչայինծրագիր	hy
source	Աղբյուր	hy
space	Բացատ	hy
spawn	spawn	hy
src	src	hy
srcptr	srcptr	hy
ss	ss	hy
st	st	hy
stack	stack	hy
stackbottom	stackbottom	hy
stacktop	stacktop	hy
start	Սկիզբ	hy
started	Սկսված	hy
starting	starting	hy
stat	stat	hy
state	Վիճակ	hy
status	Կարգավիճակ	hy
stderr	stderr	hy
stdin	stdin	hy
stdout	stdout	hy
stop	Կանգառ	hy
stopped	Կանգնեցված	hy
str	str	hy
string	ՏՈՂ	hy
strtab	strtab	hy
subclass	subclass	hy
subnet	subnet	hy
support	support	hy
swap	Փոխանակություն	hy
switch	switch	hy
sym	sym	hy
sync	sync	hy
sys	sys	hy
syscall	syscall	hy
sysname	sysname	hy
system	Համակարգ	hy
systemcall	systemcall	hy
t	t	hy
table	Աղյուսակ	hy
tag	Թեգ	hy
tail	tail	hy
tamd	tamd	hy
tarp	tarp	hy
task	task	hy
tasking	tasking	hy
tasks	Առաջադրանքներ	hy
tcow	tcow	hy
tcpu	tcpu	hy
technology	Տեխնոլոգիա	hy
temp	temp	hy
temporary	temporary	hy
tenth	tenth	hy
terminated	terminated	hy
test	Թեստ	hy
text	Տեքստ	hy
thr	thr	hy
thread	thread	hy
threads	threads	hy
tick	tick	hy
ticmp	ticmp	hy
time	Ժամանակ	hy
timer	Ժամանակաչափ	hy
tip	tip	hy
tls	tls	hy
tmp	tmp	hy
tmsdos	tmsdos	hy
to	to	hy
top	Վերև	hy
tos	tos	hy
total	Ընդհանուր	hy
track	track	hy
trap	trap	hy
truncate	Կտրել	hy
tss	tss	hy
type	Տիպ	hy
t공용서술자테이블	t공용서술자테이블	hy
t작업관리자	t작업관리자	hy
t조각설명자	t조각설명자	hy
t콘솔	t콘솔	hy
t함수	t함수	hy
udesc	udesc	hy
udp	udp	hy
udp콘솔	udp콘솔	hy
uid	uid	hy
uint	uint	hy
uintptr	uintptr	hy
uname	uname	hy
unhandle	unhandle	hy
unhandled	unhandled	hy
unit	Միավոր	hy
unset	Հեռացնել	hy
unused	unused	hy
up	Վերև	hy
update	Նորացնել	hy
usable	usable	hy
use	use	hy
used	Օգտագործված	hy
user	Օգտագործող	hy
userhandler	userhandler	hy
usermode	usermode	hy
userproc	userproc	hy
util	util	hy
util콘솔	util콘솔	hy
uts	uts	hy
utsname	utsname	hy
v	v	hy
vaddr	vaddr	hy
val	val	hy
value	Արժեք	hy
values	values	hy
vector	vector	hy
vendor	Վաճառող	hy
ver	ver	hy
version	version	hy
vfs	vfs	hy
vga	vga	hy
video	Տեսանյութ	hy
virt	virt	hy
virtlen	virtlen	hy
virtmem	virtmem	hy
virtual	virtual	hy
volume	Ծավալ	hy
w	w	hy
wait	Սպասել	hy
waitpid	waitpid	hy
wdata	wdata	hy
when	when	hy
whence	whence	hy
widget	widget	hy
width	Լայնություն	hy
word	բառ	hy
writable	writable	hy
write	Գրել	hy
writer	writer	hy
x	x	hy
xy	xy	hy
y	ա	hy
zero	zero	hy
값	값	hy
공용서술자테이블	공용서술자테이블	hy
기준	기준	hy
기준주소	기준주소	hy
낮은	낮은	hy
넷카드콘솔	넷카드콘솔	hy
높은	높은	hy
단말기	단말기	hy
마우스콘솔	마우스콘솔	hy
매개값	매개값	hy
매우높은	매우높은	hy
멈추기	멈추기	hy
목적	목적	hy
유형	유형	hy
이더넷콘솔	이더넷콘솔	hy
인터럽트무시하기	인터럽트무시하기	hy
인터럽트예외처리기	인터럽트예외처리기	hy
인터럽트요청처리	인터럽트요청처리	hy
인터럽트처리기	인터럽트처리기	hy
임시	임시	hy
자료	자료	hy
자신	자신	hy
작업관리자	작업관리자	hy
작업콘솔	작업콘솔	hy
조각설명자	조각설명자	hy
출력	출력	hy
콘솔	콘솔	hy
크기	크기	hy
키보드콘솔	키보드콘솔	hy
표시들	표시들	hy
한도	한도	hy
